replicate,t,V_no_drug,V_Camostat,V_AmphoB,V_tot_no_drug,V_tot_Camostat,V_tot_AmphoB
1,-1,700000,700000,700000,NA,NA,NA
1,18,25000,0,15000,10400000,5310000,9130000
1,24,200000,0,650000,43900000,1460000,115000000
1,48,250000000,0,250000000,2250000000,823000,6640000000
1,72,180000000,0,245000000,30700000000,577000,45400000000
2,18,15000,50,30000,7180000,10400000,6450000
2,24,250000,0,350000,151000000,1780000,80800000
2,48,210000000,0,110000000,16000000000,1190000,3820000000
2,72,160000000,0,190000000,99200000000,868000,76700000000
3,18,10000,50,10000,5370000,12500000,9460000
3,24,100000,0,500000,46600000,2260000,21700000
3,48,100000000,0,75000000,14300000000,1330000,18800000000
3,72,95000000,0,160000000,79400000000,208000,106000000000
1,0,NA,NA,NA,66000000,6890000,8840000
2,0,NA,NA,NA,7020000,9980000,12200000
3,0,NA,NA,NA,8950000,6430000,6190000
