t,replicate,V,V_Camostat,V_AmphoB,V_Camostat_AmphoB,V_tot,V_tot_Camostat,V_tot_AmphoB,V_tot_Camostat_AmphoB
18,1,1000,0,15000,0,329000,20800,3500000,45100
18,2,1050,0,2500,0,235000,29200,842000,39200
18,3,10000,0,15000,0,1130000,49900,3010000,43300
24,1,2000,0,95000,0,1180000,33900,14800000,52900
24,2,2500,0,10000,0,1310000,36300,2850000,78600
24,3,60000,0,65000,0,10200000,32800,21700000,41600
48,1,50000000,0,55000000,0,6070000000,58800,56900000000,80500
48,2,45000000,0,75000000,50,7150000000,81900,27400000000,221000
48,3,85000000,0,90000000,0,34900000000,52000,55000000000,58100
72,1,110000000,0,90000000,0,227000000000,82600,425000000000,106000
72,2,90000000,0,85000000,750,181000000000,74200,271000000000,1790000
72,3,105000000,0,100000000,0,385000000000,63000,484000000000,124000
-1,1,10000,10000,10000,10000,NA,NA,NA,NA
-1,2,10000,10000,10000,10000,NA,NA,NA,NA
-1,3,10000,10000,10000,10000,NA,NA,NA,NA
0,1,NA,NA,NA,NA,19500,28900,34500,33200
0,2,NA,NA,NA,NA,8820,25000,75000,34800
0,3,NA,NA,NA,NA,51100,14000,83100,35400
