replicate,t,V_no_drug,V_Camostat,V_AmphoB,V_tot_no_drug,V_tot_Camostat,V_tot_AmphoB
1,-1,165000,165000,165000,NA,NA,NA
1,18,900000,200,300000,6230000000,16100000,2530000000
1,24,1650000,4500,1550000,26300000000,41000000,11300000000
1,48,750000,500000,1500000,59100000000,4740000000,39000000000
1,72,300000,3000000,900000,28900000000,67400000000,3010000000
2,18,800000,700,750000,9430000000,19500000,2910000000
2,24,5000000,7000,6000000,38100000000,59900000,24800000000
2,48,1200000,2000000,4000000,32000000000,11700000000,19800000000
2,72,300000,2500000,800000,24400000000,66600000000,14700000000
3,18,250000,1400,550000,8910000000,63700000,3430000000
3,24,1400000,20500,2500000,29900000000,226000000,11000000000
3,48,1600000,1650000,5000000,20500000000,14900000000,14500000000
3,72,300000,5500000,400000,13600000000,39200000000,9280000000
1,0,NA,NA,NA,5610000,9920000,20000000
2,0,NA,NA,NA,3980000,3900000,6200000
3,0,NA,NA,NA,3770000,9300000,7690000
